"oem","model","launch_announced","launch_status","body_dimensions","body_weight","body_sim","display_type","display_size","display_resolution","features_sensors","platform_os"
"Benefon","Vega",1999,NA,"145 x 56 x 23 mm (5.71 x 2.20 x 0.91 in)",190,"Mini-SIM","Monochrome graphic",NA,"6 lines","V1",NA
"Garmin-Asus","nuvifone M10",2010,NA,NA,NA,"Mini-SIM","TFT resistive touchscreen, 65K colors","3.5 inches","480 x 800 pixels, 5:3 ratio (~267 ppi density)","Accelerometer","Microsoft Windows Mobile 6.5.3 Professional"
"Gigabyte","GSmart G1305 Boston",2010,NA,"116 x 56.8 x 12.4 mm (4.57 x 2.24 x 0.49 in)",118,"Mini-SIM","TFT capacitive touchscreen, 256K colors","3.2 inches","320 x 480 pixels, 3:2 ratio (~180 ppi density)","Accelerometer","Android 1.6 (Donut)"
"Gigabyte","GSmart",NA,NA,"103 x 54 x 13.4 mm (4.06 x 2.13 x 0.53 in)",NA,"Mini-SIM","TFT capacitive touchscreen, 256K colors","2.8 inches","240 x 320 pixels, 4:3 ratio (~143 ppi density)","Accelerometer","Android 1.6 (Donut)"
"Google","Pixel 4 XL",2019,"2019","160.4 x 75.1 x 8.2 mm (6.31 x 2.96 x 0.32 in)",193,"Nano-SIM card & eSIM","P-OLED capacitive touchscreen, 16M colors","6.3 inches","1440 x 3040 pixels, 19:9 ratio (~537 ppi density)","Face ID, accelerometer, gyro, proximity, compass, barometer","Android 10"
"Google","Pixel 4",2019,"2019","147.1 x 68.8 x 8.2 mm (5.79 x 2.71 x 0.32 in)",162,"Nano-SIM card & eSIM","P-OLED capacitive touchscreen, 16M colors","5.7 inches","1080 x 2280 pixels, 19:9 ratio (~444 ppi density)","Face ID, accelerometer, gyro, proximity, compass, barometer","Android 10"
"Google","Pixel 3a XL",2019,"2019","160.1 x 76.1 x 8.2 mm (6.30 x 3.00 x 0.32 in)",167,"Nano-SIM, eSIM","OLED capacitive touchscreen, 16M colors","6.0 inches","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Android 9.0 (Pie)"
"Google","Pixel 3a",2019,"2019","151.3 x 70.1 x 8.2 mm (5.96 x 2.76 x 0.32 in)",147,"Nano-SIM","OLED capacitive touchscreen, 16M colors","5.6 inches","1080 x 2220 pixels, 18.5:9 ratio (~441 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Android 9.0 (Pie)"
"Haier","N60",2005,NA,"94 x 48 x 25 mm (3.70 x 1.89 x 0.98 in)",131,"Mini-SIM","TFT resistive touchscreen, 256K colors",NA,"320 x 240 pixels, 4:3 ratio","V1","Linux"
"Haier","T3000",2005,NA,"85 x 45 x 23.5 mm (3.35 x 1.77 x 0.93 in)",85,"Mini-SIM","65K colors",NA,"128 x 160 pixels","V1",NA
"Haier","V280",2005,NA,"109 x 44 x 14.5 mm (4.29 x 1.73 x 0.57 in)",80,"Mini-SIM","65K colors",NA,"128 x 160 pixels","V1",NA
"Haier","V190",2004,NA,"106 x 46 x 18.8 mm (4.17 x 1.81 x 0.74 in)",90,"Mini-SIM","65K colors",NA,"128 x 128 pixels, 1:1 ratio","V1",NA
"Haier","V100",2004,NA,"106 x 46 x 18.8 mm (4.17 x 1.81 x 0.74 in)",90,"Mini-SIM","65K colors",NA,"128 x 128 pixels, 1:1 ratio","V1",NA
"Haier","P5",2003,NA,"135 x 28 x 18 mm (5.31 x 1.10 x 0.71 in)",75,"Mini-SIM","Monochrome",NA,"64 x 102 pixels, 16:10 ratio","V1",NA
"Haier","Z8000",2004,NA,"83 x 44 x 23.8 mm (3.27 x 1.73 x 0.94 in)",90,"Mini-SIM","4096 colors",NA,"128 x 128 pixels, 1:1 ratio","V1",NA
"Honor","8S 2020",2020,"2020","147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in)",146,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.71 inches","720 x 1520 pixels, 19:9 ratio (~295 ppi density)","Accelerometer, proximity","Android 9.0 (Pie)"
"Honor","Play4",2020,"2020","170 x 78.5 x 8.9 mm (6.69 x 3.09 x 0.35 in)",213,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.81 inches","1080 x 2400 pixels, 20:9 ratio (~386 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10"
"Honor","Play4 Pro",2020,"2020","162.7 x 75.8 x 8.9 mm (6.41 x 2.98 x 0.35 in)",213,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.57 inches","1080 x 2400 pixels, 20:9 ratio (~401 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10"
"Honor","X10 5G",2020,"2020","163.7 x 76.5 x 8.8 mm (6.44 x 3.01 x 0.35 in)",203,"Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.63 inches","1080 x 2400 pixels, 20:9 ratio (~397 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10"
"Honor","V6",2020,"2020","245.2 x 154.9 x 7.8 mm (9.65 x 6.10 x 0.31 in)",480,NA,"IPS LCD capacitive touchscreen, 16M colors","10.4 inches","1200 x 2000 pixels, 5:3 ratio (~224 ppi density)","Accelerometer, proximity, compass","Android 10"
"Honor","9A",2020,"2020","159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in)",185,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches","720 x 1600 pixels, 20:9 ratio (~278 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 10"
"Honor","9C",2020,"2020","159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in)",176,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.39 inches","720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 10"
"Honor","9S",2020,"2020","146.5 x 70.9 x 8.4 mm (5.77 x 2.79 x 0.33 in)",144,"Dual SIM (Nano-SIM, dual stand-by)","Capacitive touchscreen, 16M colors","5.45 inches","720 x 1440 pixels, 18:9 ratio (~295 ppi density)","Accelerometer, proximity","Android 10"
"Honor","9X Lite",2020,"2020","160.4 x 76.6 x 7.8 mm (6.31 x 3.02 x 0.31 in)",188,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches","1080 x 2340 pixels, 19.5:9 ratio (~397 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 9.0 (Pie)"
"Honor","30 Pro+",2020,"2020","160.3 x 73.6 x 8.4 mm (6.31 x 2.90 x 0.33 in)",190,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.57 inches","1080 x 2340 pixels, 19.5:9 ratio (~392 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 10"
"Honor","30 Pro",2020,"2020","160.3 x 73.6 x 8.4 mm (6.31 x 2.90 x 0.33 in)",186,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.57 inches","1080 x 2340 pixels, 19.5:9 ratio (~392 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 10"
"Honor","30",2020,"2020","160.3 x 74.2 x 8.1 mm (6.31 x 2.92 x 0.32 in)",185,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.53 inches","1080 x 2400 pixels, 20:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 10"
"Honor","20e",2020,"2020","154.8 x 73.6 x 8 mm (6.09 x 2.90 x 0.31 in)",164,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.21 inches","1080 x 2340 pixels, 19.5:9 ratio (~415 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 9.0 (Pie)"
"Honor","Play 4T Pro",2020,"2020","157.4 x 73.2 x 7.8 mm (6.20 x 2.88 x 0.31 in)",165,"Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.3 inches","1080 x 2400 pixels, 20:9 ratio (~418 ppi density)","Fingerprint (under display, optical), accelerometer, proximity, compass","Android 10"
"Honor","Play 4T",2020,"2020","159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in)",176,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.39 inches","720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 10"
"Honor","8A 2020",2020,"2020","156.3 x 73.5 x 8.2 mm (6.15 x 2.89 x 0.32 in)",150,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.09 inches","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie)"
"Honor","8A Prime",2020,"2020","156.3 x 73.5 x 8.2 mm (6.15 x 2.89 x 0.32 in)",150,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.09 inches","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 9.0 (Pie)"
"Honor","30S",2020,"2020","162.3 x 75 x 8.6 mm (6.39 x 2.95 x 0.34 in)",190,"Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.5 inches","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10"
"Honor","Play 9A",2020,"2020","159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in)",185,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches","720 x 1600 pixels, 20:9 ratio (~278 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 10"
"Honor","View30 Pro",2020,"2020","162.7 x 75.8 x 8.8 mm (6.41 x 2.98 x 0.35 in)",206,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.57 inches","1080 x 2400 pixels, 20:9 ratio (~400 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10"
"Honor","View30",2020,"2020","162.7 x 75.8 x 8.9 mm (6.41 x 2.98 x 0.35 in)",213,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.57 inches","1080 x 2400 pixels, 20:9 ratio (~401 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10"
"Honor","V30 Pro",2019,"2019","162.7 x 75.8 x 8.8 mm (6.41 x 2.98 x 0.35 in)",206,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.57 inches","1080 x 2400 pixels, 20:9 ratio (~400 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10"
"Honor","MagicWatch 2",2019,"2019","45.9 x 45.9 x 10.7 mm (1.81 x 1.81 x 0.42 in)",41,NA,"OLED capacitive touchscreen, 16M colors","1.39 inches","454 x 454 pixels, 1:1 ratio (~326 ppi density)","Accelerometer, gyro, heart rate, barometer, compass","Huawei wearable platform"
"Honor","9X",2019,"2019","163.5 x 77.3 x 8.8 mm (6.44 x 3.04 x 0.35 in)",196.8,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.59 inches","1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie)"
"Honor","20 lite (China)",2019,"2019","157.2 x 73.2 x 7.7 mm (6.19 x 2.88 x 0.30 in)",171.5,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.3 inches","1080 x 2400 pixels, 20:9 ratio (~418 ppi density)","Fingerprint (under display, optical), accelerometer, proximity, compass","Android 9.0 (Pie)"
"Honor","Play 3e",2019,"2019","147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in)",146,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.71 inches","720 x 1520 pixels, 19:9 ratio (~295 ppi density)","Accelerometer, proximity","Android 9.0 (Pie)"
"Honor","Play 3",2019,"2019","159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in)",176,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.39 inches","720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)","Accelerometer, proximity, compass","Android 9.0 (Pie)"
"Honor","20S",2019,"2019","154.3 x 74 x 7.9 mm (6.07 x 2.91 x 0.31 in)",172,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.26 inches","1080 x 2340 pixels, 19.5:9 ratio (~412 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie)"
"Honor","9X Pro",2019,"2019","163.5 x 77.3 x 8.8 mm (6.44 x 3.04 x 0.35 in)",202,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.59 inches","1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie)"
"Honor","9X (China)",2019,"2019","163.1 x 77.2 x 8.8 mm (6.42 x 3.04 x 0.35 in)",206,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.59 inches","1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie)"
"Honor","8S",2019,"2019","147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in)",146,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.71 inches","720 x 1520 pixels, 19:9 ratio (~295 ppi density)","Accelerometer, proximity","Android 9.0 (Pie)"
"Honor","Pad 5 10.1",2019,"2019","243 x 164 x 7.8 mm (9.57 x 6.46 x 0.31 in)",NA,"Nano-SIM","IPS LCD capacitive touchscreen, 16M colors","10.1 inches","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)","Accelerometer","Android 8.0 (Oreo)"
"Honor","Pad 5 8",2019,"2019","204.2 x 122.2 x 8.2 mm (8.04 x 4.81 x 0.32 in)",NA,"Nano-SIM","IPS LCD capacitive touchscreen, 16M colors","8.0 inches","1920 x 1200 pixels, 16:10 ratio (~283 ppi density)","Accelerometer, proximity","Android 9.0 (Pie)"
"Honor","20 Pro",2019,"2019","154.6 x 74 x 8.4 mm (6.09 x 2.91 x 0.33 in)",182,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.26 inches","1080 x 2340 pixels, 19.5:9 ratio (~412 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie)"
"Honor","20",2019,"2019","154.3 x 74 x 7.9 mm (6.07 x 2.91 x 0.31 in)",174,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.26 inches","1080 x 2340 pixels, 19.5:9 ratio (~412 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie)"
"Honor","20 lite",2019,"2019","154.8 x 73.6 x 8 mm (6.09 x 2.90 x 0.31 in)",164,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.21 inches","1080 x 2340 pixels, 19.5:9 ratio (~415 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 9.0 (Pie)"
"HP","Slate8 Pro",2013,NA,"220 x 141.5 x 9.9 mm (8.66 x 5.57 x 0.39 in)",453.6,NA,"Capacitive touchscreen, 16M colors","8.0 inches","1200 x 1600 pixels, 4:3 ratio (~250 ppi density)","Accelerometer, gyro, compass","Android 4.2.2 (Jelly Bean)"
"HTC","U20 5G",2020,"2020","171.2 x 78.1 x 9.4 mm (6.74 x 3.07 x 0.37 in)",215.5,"Dual SIM (Nano-SIM, dual stand-by)","Capacitive touchscreen, 16M colors","6.8 inches","1080 x 2400 pixels, 20:9 ratio (~387 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, SAR","Android 10"
"HTC","Desire 20 Pro",2020,"2020","162 x 77 x 9.4 mm (6.38 x 3.03 x 0.37 in)",201,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 10"
"HTC","Wildfire R70",2020,"2020","163.2 x 77.8 x 8.9 mm (6.43 x 3.06 x 0.35 in)",186,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.53 inches","720 x 1560 pixels, 19.5:9 ratio (~263 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 9 (Pie)"
"HTC","Desire 19s",2019,"2019","156.2 x 74.8 x 8.5 mm (6.15 x 2.94 x 0.33 in)",170,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches","720 x 1520 pixels, 19:9 ratio (~271 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 9 (Pie)"
"HTC","Exodus 1s",2019,"2019","154.2 x 72.7 x 8.3 mm (6.07 x 2.86 x 0.33 in)",150,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches","720 x 1440 pixels, 18:9 ratio (~282 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 8.1 (Oreo)"
"HTC","Wildfire X",2019,"2019","156.7 x 74.9 x 8 mm (6.17 x 2.95 x 0.31 in)",160,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches","720 x 1520 pixels, 19:9 ratio (~271 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity","Android 9 (Pie)"
"HTC","U19e",2019,"2019","156.6 x 75.9 x 8 mm (6.17 x 2.99 x 0.31 in)",180,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.0 inches","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)","Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie)"
"HTC","Desire 19+",2019,"2019","156.2 x 74.8 x 8.5 mm (6.15 x 2.94 x 0.33 in)",170,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches","720 x 1520 pixels, 19:9 ratio (~271 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 9 (Pie)"
"HTC","Schubert",NA,NA,NA,NA,"Mini-SIM","TFT capacitive touchscreen, 16M colors",NA,NA,"Accelerometer, proximity","Microsoft Windows Phone 7"
"Huawei","Enjoy 20 Pro",2020,"2020","160 x 75.3 x 8.4 mm (6.30 x 2.96 x 0.33 in)",192,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10"
"Huawei","Enjoy Z 5G",2020,"2020","160 x 75.3 x 8.4 mm (6.30 x 2.96 x 0.33 in)",182,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10"
"Huawei","P Smart S",2020,"2020","157.4 x 73.2 x 7.8 mm (6.20 x 2.88 x 0.31 in)",163,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.3 inches","1080 x 2400 pixels, 20:9 ratio (~418 ppi density)","Fingerprint (under display, optical), accelerometer, proximity, compass","Android 10"
"Huawei","Y8p",2020,"2020","157.4 x 73.2 x 7.8 mm (6.20 x 2.88 x 0.31 in)",163,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.3 inches","1080 x 2400 pixels, 20:9 ratio (~418 ppi density)","Fingerprint (under display, optical), accelerometer, proximity, compass","Android 10"
"Huawei","P40 lite 5G",2020,"2020","162.3 x 75 x 8.6 mm (6.39 x 2.95 x 0.34 in)",189,"Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.5 inches","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10"
"Huawei","P30 Pro New Edition",2020,"2020","158 x 73.4 x 8.4 mm (6.22 x 2.89 x 0.33 in)",192,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.47 inches","1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Android 10"
"Huawei","MatePad T8",2020,"2020","199.7 x 121.1 x 8.6 mm (7.86 x 4.77 x 0.34 in)",310,"Nano-SIM","IPS LCD capacitive touchscreen, 16M colors","8.0 inches","800 x 1280 pixels, 16:10 ratio (~189 ppi density)","Accelerometer","Android 10"
"Huawei","Y8s",2020,"2020","162.4 x 77.1 x 8.1 mm (6.39 x 3.04 x 0.32 in)",180,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 9.0 (Pie)"
"Huawei","Y6p",2020,"2020","159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in)",185,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches","720 x 1600 pixels, 20:9 ratio (~278 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 10"
"Huawei","Y5p",2020,"2020","146.5 x 70.9 x 8.4 mm (5.77 x 2.79 x 0.33 in)",144,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.45 inches","720 x 1440 pixels, 18:9 ratio (~295 ppi density)","Accelerometer, proximity","Android 10"
"Huawei","P smart 2020",2020,"2020","155.2 x 73.4 x 8 mm (6.11 x 2.89 x 0.31 in)",160,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.21 inches","1080 x 2340 pixels, 19.5:9 ratio (~415 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 9.0 (Pie)"
"Huawei","nova 7 Pro 5G",2020,"2020","160.4 x 73.7 x 8 mm (6.31 x 2.90 x 0.31 in)",178,"Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.57 inches","1080 x 2340 pixels, 19.5:9 ratio (~392 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 10"
"Huawei","nova 7 5G",2020,"2020","160.6 x 74.3 x 8 mm (6.32 x 2.93 x 0.31 in)",180,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.53 inches","1080 x 2400 pixels, 20:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 10"
"Huawei","nova 7 SE",2020,"2020","162.3 x 75 x 8.6 mm (6.39 x 2.95 x 0.34 in)",189,"Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.5 inches","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10"
"Huawei","MatePad",2020,"2020","245.2 x 155 x 7.4 mm (9.65 x 6.10 x 0.29 in)",450,"Nano-SIM","IPS LCD capacitive touchscreen, 16M colors","10.4 inches","1200 x 2000 pixels, 5:3 ratio (~224 ppi density)","Accelerometer, gyro, proximity, compass","Android 10"
"Huawei","Watch GT 2e",2020,"2020","53 x 46.8 x 10.8 mm (2.09 x 1.84 x 0.43 in)",43,NA,"AMOLED capacitive touchscreen, 16M colors","1.39 inches","454 x 454 pixels, 1:1 ratio (~326 ppi density)","Accelerometer, gyro, heart rate, barometer, compass, SpO2","Huawei wearable platform"
"Huawei","P40 Pro+",2020,"2020","158.2 x 72.6 x 9 mm (6.23 x 2.86 x 0.35 in)",226,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.58 inches","1200 x 2640 pixels (~441 ppi density)","Infrared face recognition, fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Android 10"
"Huawei","P40 Pro",2020,"2020","158.2 x 72.6 x 9 mm (6.23 x 2.86 x 0.35 in)",209,"Single SIM (Nano-SIM/eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.58 inches","1200 x 2640 pixels (~441 ppi density)","Infrared face recognition, fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Android 10"
"Huawei","P40",2020,"2020","148.9 x 71.1 x 8.5 mm (5.86 x 2.80 x 0.33 in)",175,"Single SIM (Nano-SIM/eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.1 inches","1080 x 2340 pixels, 19.5:9 ratio (~422 ppi density)","Infrared face recognition, fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Android 10"
"Huawei","P40 lite E",2020,"2020","159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in)",176,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.39 inches","720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 9.0 (Pie)"
"Huawei","P40 lite",2020,"2020","159.2 x 76.3 x 8.7 mm (6.27 x 3.00 x 0.34 in)",183,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.4 inches","1080 x 2310 pixels (~398 ppi density)","Fingerprint (side-mounted), accelerometer, proximity, compass","Android 10"
"Huawei","MatePad Pro 5G",2020,"2020","246 x 159 x 7.2 mm (9.69 x 6.26 x 0.28 in)",460,"Nano-SIM","IPS LCD capacitive touchscreen, 16M colors","10.8 inches","2560 x 1600 pixels, 16:10 ratio (~280 ppi density)","Accelerometer, gyro, proximity, compass","Android 10"
