"oem","model","launch_announced","launch_status","body_dimensions","body_weight","body_sim","display_type","display_size","display_resolution","features_sensors","platform_os"
"Sony","CM-DX 2000",1997,NA,"147 x 46 x 27 mm, 155 cc (5.79 x 1.81 x 1.06 in)",185,"Mini-SIM","Monochrome graphic",NA,"97 x 33 pixels, 4 x 16 chars","V1",NA
"Sony","CM-DX 1000",1997,NA,"150 x 45 x 32 mm (5.91 x 1.77 x 1.26 in)",235,"Mini-SIM","Monochrome graphic",NA,"4 x 16 chars","V1",NA
"Sony Ericsson","Z700",2002,NA,"91 x 50 x 24 mm, 90 cc (3.58 x 1.97 x 0.94 in)",95,"Mini-SIM","STN, 256 colors",NA,NA,"V1",NA
"Sony Ericsson","Windows Phone 7",NA,NA,NA,NA,"Mini-SIM","TFT capacitive touchscreen, 16M colors",NA,NA,"Accelerometer","Microsoft Windows Phone 7"
"Spice","Mi-285 Stellar",2012,NA,"116.5 x 58.4 x 12.7 mm (4.59 x 2.30 x 0.5 in)",79,"Dual SIM (Mini-SIM)","TFT capacitive touchscreen, 256K colors","2.8 inches","240 x 320 pixels, 4:3 ratio (~143 ppi density)","V1","Android 2.3 (Gingerbread)"
"T-Mobile","Revvlry+",2019,"2019","158.5 x 75.2 x 8.6 mm (6.24 x 2.96 x 0.34 in)",NA,"Nano-SIM","IPS LCD capacitive touchscreen, 16M colors","6.24 inches","1080 x 2270 pixels, 19:9 ratio (~403 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie)"
"T-Mobile","Revvlry",2019,"2019","148.6 x 71.4 x 8.1 mm (5.85 x 2.81 x 0.32 in)",NA,"Nano-SIM","IPS LCD capacitive touchscreen, 16M colors","5.7 inches","720 x 1520 pixels, 19:9 ratio (~295 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie)"
"TCL","10 5G",2020,"2020","163.7 x 76.6 x 9 mm (6.44 x 3.02 x 0.35 in)",210,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.53 inches","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 10"
"TCL","10 Pro",2020,"2020","158.5 x 72.4 x 9.2 mm (6.24 x 2.85 x 0.36 in)",177,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.47 inches","1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 10"
"TCL","10L",2020,"2020","162.2 x 75.6 x 8.4 mm (6.39 x 2.98 x 0.33 in)",180,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.53 inches","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 10"
"TCL","Plex",2019,"2019","162.2 x 76.6 x 8 mm (6.39 x 3.02 x 0.31 in)",192,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.53 inches","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie)"
"TECNO","Spark Power 2",2020,"2020","174.9 x 79.6 x 9.2 mm (6.89 x 3.13 x 0.36 in)",220,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","7.0 inches","720 x 1640 pixels (~256 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 10"
"TECNO","Spark 5 Air",2020,"2020","174.6 x 79.3 x 9.1 mm (6.87 x 3.12 x 0.36 in)",NA,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","7.0 inches","720 x 1640 pixels (~256 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 10 (Go edition)"
"TECNO","Spark 5",2020,"2020","164.7 x 76.3 x 8.8 mm (6.48 x 3.00 x 0.35 in)",NA,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.6 inches","720 x 1600 pixels, 20:9 ratio (~266 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 10"
"TECNO","Camon 15 Premier",2020,"2020","163.3 x 77.7 x 9.1 mm (6.43 x 3.06 x 0.36 in)",203,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.6 inches","1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 10"
